site-bay-shelf-position,switchname-port,ip
DNN3-A127-8-4,DNN3-A127C-4,10.32.129.5
DNN3-A127-8-5,DNN3-A127C-5,10.32.129.6
DNN3-A127-8-6,DNN3-A127C-6,10.32.129.7
DNN3-A127-8-7,DNN3-A127C-7,10.32.129.8
DNN3-A127-8-8,DNN3-A127C-8,10.32.129.9
DNN3-A127-8-9,DNN3-A127C-9,10.32.129.10
DNN3-A127-9-1,DNN3-A127C-13,10.32.129.14
DNN3-A127-9-10,DNN3-A127C-22,10.32.129.23
DNN3-A127-9-11,DNN3-A127C-23,10.32.129.24
DNN3-A127-9-12,DNN3-A127C-24,10.32.129.25
DNN3-A127-9-2,DNN3-A127C-14,10.32.129.15
DNN3-A127-9-3,DNN3-A127C-15,10.32.129.16
DNN3-A127-9-4,DNN3-A127C-16,10.32.129.17
DNN3-A127-9-5,DNN3-A127C-17,10.32.129.18
DNN3-A127-9-6,DNN3-A127C-18,10.32.129.19
DNN3-A127-9-7,DNN3-A127C-19,10.32.129.20
DNN3-A127-9-8,DNN3-A127C-20,10.32.129.21
DNN3-A127-9-9,DNN3-A127C-21,10.32.129.22
DNN3-A128-10-1,DNN3-A128C-25,10.32.130.90
DNN3-A128-10-10,DNN3-A128C-34,10.32.130.99
DNN3-A128-10-11,DNN3-A128C-35,10.32.130.100
DNN3-A128-10-12,DNN3-A128C-36,10.32.130.101
DNN3-A128-10-2,DNN3-A128C-26,10.32.130.91
DNN3-A128-10-3,DNN3-A128C-27,10.32.130.92
DNN3-A128-10-4,DNN3-A128C-28,10.32.130.93
DNN3-A128-10-5,DNN3-A128C-29,10.32.130.94
DNN3-A128-10-6,DNN3-A128C-30,10.32.130.95
DNN3-A128-10-7,DNN3-A128C-31,10.32.130.96
DNN3-A128-10-8,DNN3-A128C-32,10.32.130.97
DNN3-A128-10-9,DNN3-A128C-33,10.32.130.98
DNN3-A128-1-1,DNN3-A128A-1,10.32.129.194
DNN3-A128-1-10,DNN3-A128A-10,10.32.129.203
DNN3-A128-11-1,DNN3-A128D-1,10.32.130.130
DNN3-A128-1-11,DNN3-A128A-11,10.32.129.204
DNN3-A128-11-10,DNN3-A128D-10,10.32.130.139
DNN3-A128-11-11,DNN3-A128D-11,10.32.130.140
DNN3-A128-11-12,DNN3-A128D-12,10.32.130.141
DNN3-A128-11-2,DNN3-A128D-2,10.32.130.131
DNN3-A128-1-12,DNN3-A128A-12,10.32.129.205
DNN3-A128-11-3,DNN3-A128D-3,10.32.130.132
DNN3-A128-11-4,DNN3-A128D-4,10.32.130.133
DNN3-A128-11-5,DNN3-A128D-5,10.32.130.134
DNN3-A128-11-6,DNN3-A128D-6,10.32.130.135
DNN3-A128-11-7,DNN3-A128D-7,10.32.130.136
DNN3-A128-11-8,DNN3-A128D-8,10.32.130.137
DNN3-A128-11-9,DNN3-A128D-9,10.32.130.138
DNN3-A128-1-2,DNN3-A128A-2,10.32.129.195
DNN3-A128-12-1,DNN3-A128D-13,10.32.130.142
DNN3-A128-12-10,DNN3-A128D-22,10.32.130.151
DNN3-A128-12-11,DNN3-A128D-23,10.32.130.152
DNN3-A128-12-12,DNN3-A128D-24,10.32.130.153
DNN3-A128-12-2,DNN3-A128D-14,10.32.130.143
DNN3-A128-12-3,DNN3-A128D-15,10.32.130.144
DNN3-A128-12-4,DNN3-A128D-16,10.32.130.145
DNN3-A128-12-5,DNN3-A128D-17,10.32.130.146
DNN3-A128-12-6,DNN3-A128D-18,10.32.130.147
DNN3-A128-12-7,DNN3-A128D-19,10.32.130.148
DNN3-A128-12-8,DNN3-A128D-20,10.32.130.149
DNN3-A128-12-9,DNN3-A128D-21,10.32.130.150
DNN3-A128-1-3,DNN3-A128A-3,10.32.129.196
DNN3-A128-13-1,DNN3-A128D-25,10.32.130.154
DNN3-A128-13-10,DNN3-A128D-34,10.32.130.163
DNN3-A128-13-11,DNN3-A128D-35,10.32.130.164
DNN3-A128-13-12,DNN3-A128D-36,10.32.130.165
DNN3-A128-13-2,DNN3-A128D-26,10.32.130.155
DNN3-A128-13-3,DNN3-A128D-27,10.32.130.156
DNN3-A128-13-4,DNN3-A128D-28,10.32.130.157
DNN3-A128-13-5,DNN3-A128D-29,10.32.130.158
DNN3-A128-13-6,DNN3-A128D-30,10.32.130.159
DNN3-A128-13-7,DNN3-A128D-31,10.32.130.160
DNN3-A128-13-8,DNN3-A128D-32,10.32.130.161
DNN3-A128-13-9,DNN3-A128D-33,10.32.130.162
DNN3-A128-1-4,DNN3-A128A-4,10.32.129.197
DNN3-A128-1-5,DNN3-A128A-5,10.32.129.198
DNN3-A128-1-6,DNN3-A128A-6,10.32.129.199
DNN3-A128-1-7,DNN3-A128A-7,10.32.129.200
DNN3-A128-1-8,DNN3-A128A-8,10.32.129.201
DNN3-A128-1-9,DNN3-A128A-9,10.32.129.202
DNN3-A128-2-1,DNN3-A128A-13,10.32.129.206
DNN3-A128-2-10,DNN3-A128A-22,10.32.129.215
DNN3-A128-2-11,DNN3-A128A-23,10.32.129.216
DNN3-A128-2-12,DNN3-A128A-24,10.32.129.217
DNN3-A128-2-2,DNN3-A128A-14,10.32.129.207
DNN3-A128-2-3,DNN3-A128A-15,10.32.129.208
DNN3-A128-2-4,DNN3-A128A-16,10.32.129.209
DNN3-A128-2-5,DNN3-A128A-17,10.32.129.210
DNN3-A128-2-6,DNN3-A128A-18,10.32.129.211
DNN3-A128-2-7,DNN3-A128A-19,10.32.129.212
DNN3-A128-2-8,DNN3-A128A-20,10.32.129.213
DNN3-A128-2-9,DNN3-A128A-21,10.32.129.214
DNN3-A128-3-1,DNN3-A128A-25,10.32.129.218
DNN3-A128-3-10,DNN3-A128A-34,10.32.129.227
DNN3-A128-3-11,DNN3-A128A-35,10.32.129.228
DNN3-A128-3-12,DNN3-A128A-36,10.32.129.229
DNN3-A128-3-2,DNN3-A128A-26,10.32.129.219
DNN3-A128-3-3,DNN3-A128A-27,10.32.129.220
DNN3-A128-3-4,DNN3-A128A-28,10.32.129.221
DNN3-A128-3-5,DNN3-A128A-29,10.32.129.222
DNN3-A128-3-6,DNN3-A128A-30,10.32.129.223
DNN3-A128-3-7,DNN3-A128A-31,10.32.129.224
DNN3-A128-3-8,DNN3-A128A-32,10.32.129.225
DNN3-A128-3-9,DNN3-A128A-33,10.32.129.226
DNN3-A128-4-1,DNN3-A128B-1,10.32.130.2
DNN3-A128-4-10,DNN3-A128B-10,10.32.130.11
DNN3-A128-4-11,DNN3-A128B-11,10.32.130.12
DNN3-A128-4-12,DNN3-A128B-12,10.32.130.13
DNN3-A128-4-2,DNN3-A128B-2,10.32.130.3
DNN3-A128-4-3,DNN3-A128B-3,10.32.130.4
DNN3-A128-4-4,DNN3-A128B-4,10.32.130.5
DNN3-A128-4-5,DNN3-A128B-5,10.32.130.6
DNN3-A128-4-6,DNN3-A128B-6,10.32.130.7
DNN3-A128-4-7,DNN3-A128B-7,10.32.130.8
DNN3-A128-4-8,DNN3-A128B-8,10.32.130.9
DNN3-A128-4-9,DNN3-A128B-9,10.32.130.10
DNN3-A128-6-1,DNN3-A128B-13,10.32.130.14
DNN3-A128-6-10,DNN3-A128B-22,10.32.130.23
DNN3-A128-6-11,DNN3-A128B-23,10.32.130.24
DNN3-A128-6-12,DNN3-A128B-24,10.32.130.25
DNN3-A128-6-2,DNN3-A128B-14,10.32.130.15
DNN3-A128-6-3,DNN3-A128B-15,10.32.130.16
DNN3-A128-6-4,DNN3-A128B-16,10.32.130.17
DNN3-A128-6-5,DNN3-A128B-17,10.32.130.18
DNN3-A128-6-6,DNN3-A128B-18,10.32.130.19
DNN3-A128-6-7,DNN3-A128B-19,10.32.130.20
DNN3-A128-6-8,DNN3-A128B-20,10.32.130.21
DNN3-A128-6-9,DNN3-A128B-21,10.32.130.22
DNN3-A128-7-1,DNN3-A128B-25,10.32.130.26
DNN3-A128-7-10,DNN3-A128B-34,10.32.130.35
DNN3-A128-7-11,DNN3-A128B-35,10.32.130.36
DNN3-A128-7-12,DNN3-A128B-36,10.32.130.37
DNN3-A128-7-2,DNN3-A128B-26,10.32.130.27
DNN3-A128-7-3,DNN3-A128B-27,10.32.130.28
DNN3-A128-7-4,DNN3-A128B-28,10.32.130.29
DNN3-A128-7-5,DNN3-A128B-29,10.32.130.30
DNN3-A128-7-6,DNN3-A128B-30,10.32.130.31
DNN3-A128-7-7,DNN3-A128B-31,10.32.130.32
DNN3-A128-7-8,DNN3-A128B-32,10.32.130.33
DNN3-A128-7-9,DNN3-A128B-33,10.32.130.34
DNN3-A128-8-1,DNN3-A128C-1,10.32.130.66
DNN3-A128-8-10,DNN3-A128C-10,10.32.130.75
DNN3-A128-8-11,DNN3-A128C-11,10.32.130.76
DNN3-A128-8-12,DNN3-A128C-12,10.32.130.77
DNN3-A128-8-2,DNN3-A128C-2,10.32.130.67
DNN3-A128-8-3,DNN3-A128C-3,10.32.130.68
DNN3-A128-8-4,DNN3-A128C-4,10.32.130.69
DNN3-A128-8-5,DNN3-A128C-5,10.32.130.70
DNN3-A128-8-6,DNN3-A128C-6,10.32.130.71
DNN3-A128-8-7,DNN3-A128C-7,10.32.130.72
DNN3-A128-8-8,DNN3-A128C-8,10.32.130.73
DNN3-A128-8-9,DNN3-A128C-9,10.32.130.74
DNN3-A128-9-1,DNN3-A128C-13,10.32.130.78
DNN3-A128-9-10,DNN3-A128C-22,10.32.130.87
DNN3-A128-9-11,DNN3-A128C-23,10.32.130.88
DNN3-A128-9-12,DNN3-A128C-24,10.32.130.89
DNN3-A128-9-2,DNN3-A128C-14,10.32.130.79
DNN3-A128-9-3,DNN3-A128C-15,10.32.130.80
DNN3-A128-9-4,DNN3-A128C-16,10.32.130.81
DNN3-A128-9-5,DNN3-A128C-17,10.32.130.82
DNN3-A128-9-6,DNN3-A128C-18,10.32.130.83
DNN3-A128-9-7,DNN3-A128C-19,10.32.130.84
DNN3-A128-9-8,DNN3-A128C-20,10.32.130.85
DNN3-A128-9-9,DNN3-A128C-21,10.32.130.86
DNN3-A129-10-1,DNN3-A129C-25,10.32.131.154
DNN3-A129-10-10,DNN3-A129C-34,10.32.131.163
DNN3-A129-10-11,DNN3-A129C-35,10.32.131.164
DNN3-A129-10-12,DNN3-A129C-36,10.32.131.165
DNN3-A129-10-2,DNN3-A129C-26,10.32.131.155
DNN3-A129-10-3,DNN3-A129C-27,10.32.131.156
DNN3-A129-10-4,DNN3-A129C-28,10.32.131.157
DNN3-A129-10-5,DNN3-A129C-29,10.32.131.158
DNN3-A129-10-6,DNN3-A129C-30,10.32.131.159
DNN3-A129-10-7,DNN3-A129C-31,10.32.131.160
DNN3-A129-10-8,DNN3-A129C-32,10.32.131.161
DNN3-A129-10-9,DNN3-A129C-33,10.32.131.162
DNN3-A129-1-1,DNN3-A129A-1,10.32.131.2
DNN3-A129-1-10,DNN3-A129A-10,10.32.131.11
DNN3-A129-11-1,DNN3-A129D-1,10.32.131.194
DNN3-A129-1-11,DNN3-A129A-11,10.32.131.12
DNN3-A129-11-10,DNN3-A129D-10,10.32.131.203
DNN3-A129-11-11,DNN3-A129D-11,10.32.131.204
DNN3-A129-11-12,DNN3-A129D-12,10.32.131.205
DNN3-A129-11-2,DNN3-A129D-2,10.32.131.195
DNN3-A129-1-12,DNN3-A129A-12,10.32.131.13
DNN3-A129-11-3,DNN3-A129D-3,10.32.131.196
DNN3-A129-11-4,DNN3-A129D-4,10.32.131.197
DNN3-A129-11-5,DNN3-A129D-5,10.32.131.198
DNN3-A129-11-6,DNN3-A129D-6,10.32.131.199
DNN3-A129-11-7,DNN3-A129D-7,10.32.131.200
DNN3-A129-11-8,DNN3-A129D-8,10.32.131.201
DNN3-A129-11-9,DNN3-A129D-9,10.32.131.202
DNN3-A129-1-2,DNN3-A129A-2,10.32.131.3
DNN3-A129-12-1,DNN3-A129D-13,10.32.131.206
DNN3-A129-12-10,DNN3-A129D-22,10.32.131.215
DNN3-A129-12-11,DNN3-A129D-23,10.32.131.216
DNN3-A129-12-12,DNN3-A129D-24,10.32.131.217
DNN3-A129-12-2,DNN3-A129D-14,10.32.131.207
DNN3-A129-12-3,DNN3-A129D-15,10.32.131.208
DNN3-A129-12-4,DNN3-A129D-16,10.32.131.209
DNN3-A129-12-5,DNN3-A129D-17,10.32.131.210
DNN3-A129-12-6,DNN3-A129D-18,10.32.131.211
DNN3-A129-12-7,DNN3-A129D-19,10.32.131.212
DNN3-A129-12-8,DNN3-A129D-20,10.32.131.213
DNN3-A129-12-9,DNN3-A129D-21,10.32.131.214
DNN3-A129-1-3,DNN3-A129A-3,10.32.131.4
DNN3-A129-13-1,DNN3-A129D-25,10.32.131.218
DNN3-A129-13-10,DNN3-A129D-34,10.32.131.227
DNN3-A129-13-11,DNN3-A129D-35,10.32.131.228
DNN3-A129-13-12,DNN3-A129D-36,10.32.131.229
DNN3-A129-13-2,DNN3-A129D-26,10.32.131.219
DNN3-A129-13-3,DNN3-A129D-27,10.32.131.220
DNN3-A129-13-4,DNN3-A129D-28,10.32.131.221
DNN3-A129-13-5,DNN3-A129D-29,10.32.131.222
DNN3-A129-13-6,DNN3-A129D-30,10.32.131.223
DNN3-A129-13-7,DNN3-A129D-31,10.32.131.224
DNN3-A129-13-8,DNN3-A129D-32,10.32.131.225
DNN3-A129-13-9,DNN3-A129D-33,10.32.131.226
DNN3-A129-1-4,DNN3-A129A-4,10.32.131.5
DNN3-A129-1-5,DNN3-A129A-5,10.32.131.6
DNN3-A129-1-6,DNN3-A129A-6,10.32.131.7
DNN3-A129-1-7,DNN3-A129A-7,10.32.131.8
DNN3-A129-1-8,DNN3-A129A-8,10.32.131.9
DNN3-A129-1-9,DNN3-A129A-9,10.32.131.10
DNN3-A129-2-1,DNN3-A129A-13,10.32.131.14
DNN3-A129-2-10,DNN3-A129A-22,10.32.131.23
DNN3-A129-2-11,DNN3-A129A-23,10.32.131.24
DNN3-A129-2-12,DNN3-A129A-24,10.32.131.25
DNN3-A129-2-2,DNN3-A129A-14,10.32.131.15
DNN3-A129-2-3,DNN3-A129A-15,10.32.131.16
DNN3-A129-2-4,DNN3-A129A-16,10.32.131.17
DNN3-A129-2-5,DNN3-A129A-17,10.32.131.18
DNN3-A129-2-6,DNN3-A129A-18,10.32.131.19
DNN3-A129-2-7,DNN3-A129A-19,10.32.131.20
DNN3-A129-2-8,DNN3-A129A-20,10.32.131.21
DNN3-A129-2-9,DNN3-A129A-21,10.32.131.22
DNN3-A129-3-1,DNN3-A129A-25,10.32.131.26
DNN3-A129-3-10,DNN3-A129A-34,10.32.131.35
DNN3-A129-3-11,DNN3-A129A-35,10.32.131.36
DNN3-A129-3-12,DNN3-A129A-36,10.32.131.37
DNN3-A129-3-2,DNN3-A129A-26,10.32.131.27
DNN3-A129-3-3,DNN3-A129A-27,10.32.131.28
DNN3-A129-3-4,DNN3-A129A-28,10.32.131.29
DNN3-A129-3-5,DNN3-A129A-29,10.32.131.30
DNN3-A129-3-6,DNN3-A129A-30,10.32.131.31
DNN3-A129-3-7,DNN3-A129A-31,10.32.131.32
DNN3-A129-3-8,DNN3-A129A-32,10.32.131.33
DNN3-A129-3-9,DNN3-A129A-33,10.32.131.34
DNN3-A129-4-1,DNN3-A129B-1,10.32.131.66
DNN3-A129-4-10,DNN3-A129B-10,10.32.131.75
DNN3-A129-4-11,DNN3-A129B-11,10.32.131.76
DNN3-A129-4-12,DNN3-A129B-12,10.32.131.77
DNN3-A129-4-2,DNN3-A129B-2,10.32.131.67
DNN3-A129-4-3,DNN3-A129B-3,10.32.131.68
DNN3-A129-4-4,DNN3-A129B-4,10.32.131.69
DNN3-A129-4-5,DNN3-A129B-5,10.32.131.70
DNN3-A129-4-6,DNN3-A129B-6,10.32.131.71
DNN3-A129-4-7,DNN3-A129B-7,10.32.131.72
DNN3-A129-4-8,DNN3-A129B-8,10.32.131.73
DNN3-A129-4-9,DNN3-A129B-9,10.32.131.74
DNN3-A129-6-1,DNN3-A129B-13,10.32.131.78
DNN3-A129-6-10,DNN3-A129B-22,10.32.131.87
DNN3-A129-6-11,DNN3-A129B-23,10.32.131.88
DNN3-A129-6-12,DNN3-A129B-24,10.32.131.89
DNN3-A129-6-2,DNN3-A129B-14,10.32.131.79
DNN3-A129-6-3,DNN3-A129B-15,10.32.131.80
DNN3-A129-6-4,DNN3-A129B-16,10.32.131.81
DNN3-A129-6-5,DNN3-A129B-17,10.32.131.82
DNN3-A129-6-6,DNN3-A129B-18,10.32.131.83
DNN3-A129-6-7,DNN3-A129B-19,10.32.131.84
DNN3-A129-6-8,DNN3-A129B-20,10.32.131.85
DNN3-A129-6-9,DNN3-A129B-21,10.32.131.86
DNN3-A129-7-1,DNN3-A129B-25,10.32.131.90
DNN3-A129-7-10,DNN3-A129B-34,10.32.131.99
DNN3-A129-7-11,DNN3-A129B-35,10.32.131.100
DNN3-A129-7-12,DNN3-A129B-36,10.32.131.101
DNN3-A129-7-2,DNN3-A129B-26,10.32.131.91
DNN3-A129-7-3,DNN3-A129B-27,10.32.131.92
DNN3-A129-7-4,DNN3-A129B-28,10.32.131.93
DNN3-A129-7-5,DNN3-A129B-29,10.32.131.94
DNN3-A129-7-6,DNN3-A129B-30,10.32.131.95
DNN3-A129-7-7,DNN3-A129B-31,10.32.131.96
DNN3-A129-7-8,DNN3-A129B-32,10.32.131.97
DNN3-A129-7-9,DNN3-A129B-33,10.32.131.98
DNN3-A129-8-1,DNN3-A129C-1,10.32.131.130
DNN3-A129-8-10,DNN3-A129C-10,10.32.131.139
DNN3-A129-8-11,DNN3-A129C-11,10.32.131.140
DNN3-A129-8-12,DNN3-A129C-12,10.32.131.141
DNN3-A129-8-2,DNN3-A129C-2,10.32.131.131
DNN3-A129-8-3,DNN3-A129C-3,10.32.131.132
DNN3-A129-8-4,DNN3-A129C-4,10.32.131.133
DNN3-A129-8-5,DNN3-A129C-5,10.32.131.134
DNN3-A129-8-6,DNN3-A129C-6,10.32.131.135
DNN3-A129-8-7,DNN3-A129C-7,10.32.131.136
DNN3-A129-8-8,DNN3-A129C-8,10.32.131.137
DNN3-A129-8-9,DNN3-A129C-9,10.32.131.138
DNN3-A129-9-1,DNN3-A129C-13,10.32.131.142
DNN3-A129-9-10,DNN3-A129C-22,10.32.131.151
DNN3-A129-9-11,DNN3-A129C-23,10.32.131.152
DNN3-A129-9-12,DNN3-A129C-24,10.32.131.153
DNN3-A129-9-2,DNN3-A129C-14,10.32.131.143
DNN3-A129-9-3,DNN3-A129C-15,10.32.131.144
DNN3-A129-9-4,DNN3-A129C-16,10.32.131.145
DNN3-A129-9-5,DNN3-A129C-17,10.32.131.146
DNN3-A129-9-6,DNN3-A129C-18,10.32.131.147
DNN3-A129-9-7,DNN3-A129C-19,10.32.131.148
DNN3-A129-9-8,DNN3-A129C-20,10.32.131.149
DNN3-A129-9-9,DNN3-A129C-21,10.32.131.150
DNN3-A201-10-1,DNN3-A201C-25,10.32.136.154
DNN3-A201-10-10,DNN3-A201C-34,10.32.136.163
DNN3-A201-10-11,DNN3-A201C-35,10.32.136.164
DNN3-A201-10-12,DNN3-A201C-36,10.32.136.165
DNN3-A201-10-2,DNN3-A201C-26,10.32.136.155
DNN3-A201-10-3,DNN3-A201C-27,10.32.136.156
DNN3-A201-10-4,DNN3-A201C-28,10.32.136.157
DNN3-A201-10-5,DNN3-A201C-29,10.32.136.158
DNN3-A201-10-6,DNN3-A201C-30,10.32.136.159
DNN3-A201-10-7,DNN3-A201C-31,10.32.136.160
DNN3-A201-10-8,DNN3-A201C-32,10.32.136.161
DNN3-A201-10-9,DNN3-A201C-33,10.32.136.162
DNN3-A201-1-1,DNN3-A201A-1,10.32.136.2
DNN3-A201-1-10,DNN3-A201A-10,10.32.136.11
DNN3-A201-11-1,DNN3-A201D-1,10.32.136.194
DNN3-A201-1-11,DNN3-A201A-11,10.32.136.12
DNN3-A201-11-10,DNN3-A201D-10,10.32.136.203
DNN3-A201-11-11,DNN3-A201D-11,10.32.136.204
DNN3-A201-11-12,DNN3-A201D-12,10.32.136.205
DNN3-A201-11-2,DNN3-A201D-2,10.32.136.195
DNN3-A201-1-12,DNN3-A201A-12,10.32.136.13
DNN3-A201-11-3,DNN3-A201D-3,10.32.136.196
DNN3-A201-11-4,DNN3-A201D-4,10.32.136.197
DNN3-A201-11-5,DNN3-A201D-5,10.32.136.198
DNN3-A201-11-6,DNN3-A201D-6,10.32.136.199
DNN3-A201-11-7,DNN3-A201D-7,10.32.136.200
DNN3-A201-11-8,DNN3-A201D-8,10.32.136.201
DNN3-A201-11-9,DNN3-A201D-9,10.32.136.202
DNN3-A201-1-2,DNN3-A201A-2,10.32.136.3
DNN3-A201-12-1,DNN3-A201D-13,10.32.136.206
DNN3-A201-12-10,DNN3-A201D-22,10.32.136.215
DNN3-A201-12-11,DNN3-A201D-23,10.32.136.216
DNN3-A201-12-12,DNN3-A201D-24,10.32.136.217
DNN3-A201-12-2,DNN3-A201D-14,10.32.136.207
DNN3-A201-12-3,DNN3-A201D-15,10.32.136.208
DNN3-A201-12-4,DNN3-A201D-16,10.32.136.209
DNN3-A201-12-5,DNN3-A201D-17,10.32.136.210
DNN3-A201-12-6,DNN3-A201D-18,10.32.136.211
DNN3-A201-12-7,DNN3-A201D-19,10.32.136.212
DNN3-A201-12-8,DNN3-A201D-20,10.32.136.213
DNN3-A201-12-9,DNN3-A201D-21,10.32.136.214
DNN3-A201-1-3,DNN3-A201A-3,10.32.136.4
DNN3-A201-13-1,DNN3-A201D-25,10.32.136.218
DNN3-A201-13-10,DNN3-A201D-34,10.32.136.227
DNN3-A201-13-11,DNN3-A201D-35,10.32.136.228
DNN3-A201-13-12,DNN3-A201D-36,10.32.136.229
DNN3-A201-13-2,DNN3-A201D-26,10.32.136.219
DNN3-A201-13-3,DNN3-A201D-27,10.32.136.220
DNN3-A201-13-4,DNN3-A201D-28,10.32.136.221
DNN3-A201-13-5,DNN3-A201D-29,10.32.136.222
DNN3-A201-13-6,DNN3-A201D-30,10.32.136.223
DNN3-A201-13-7,DNN3-A201D-31,10.32.136.224
DNN3-A201-13-8,DNN3-A201D-32,10.32.136.225
DNN3-A201-13-9,DNN3-A201D-33,10.32.136.226
DNN3-A201-1-4,DNN3-A201A-4,10.32.136.5
DNN3-A201-1-5,DNN3-A201A-5,10.32.136.6
DNN3-A201-1-6,DNN3-A201A-6,10.32.136.7
DNN3-A201-1-7,DNN3-A201A-7,10.32.136.8
DNN3-A201-1-8,DNN3-A201A-8,10.32.136.9
DNN3-A201-1-9,DNN3-A201A-9,10.32.136.10
DNN3-A201-2-1,DNN3-A201A-13,10.32.136.14
DNN3-A201-2-10,DNN3-A201A-22,10.32.136.23
DNN3-A201-2-11,DNN3-A201A-23,10.32.136.24
DNN3-A201-2-12,DNN3-A201A-24,10.32.136.25
DNN3-A201-2-2,DNN3-A201A-14,10.32.136.15
DNN3-A201-2-3,DNN3-A201A-15,10.32.136.16
DNN3-A201-2-4,DNN3-A201A-16,10.32.136.17
DNN3-A201-2-5,DNN3-A201A-17,10.32.136.18
DNN3-A201-2-6,DNN3-A201A-18,10.32.136.19
DNN3-A201-2-7,DNN3-A201A-19,10.32.136.20
DNN3-A201-2-8,DNN3-A201A-20,10.32.136.21
DNN3-A201-2-9,DNN3-A201A-21,10.32.136.22
DNN3-A201-3-1,DNN3-A201A-25,10.32.136.26
DNN3-A201-3-10,DNN3-A201A-34,10.32.136.35
DNN3-A201-3-11,DNN3-A201A-35,10.32.136.36
DNN3-A201-3-12,DNN3-A201A-36,10.32.136.37
DNN3-A201-3-2,DNN3-A201A-26,10.32.136.27
DNN3-A201-3-3,DNN3-A201A-27,10.32.136.28
DNN3-A201-3-4,DNN3-A201A-28,10.32.136.29
DNN3-A201-3-5,DNN3-A201A-29,10.32.136.30
DNN3-A201-3-6,DNN3-A201A-30,10.32.136.31
DNN3-A201-3-7,DNN3-A201A-31,10.32.136.32
DNN3-A201-3-8,DNN3-A201A-32,10.32.136.33
DNN3-A201-3-9,DNN3-A201A-33,10.32.136.34
DNN3-A201-4-1,DNN3-A201B-1,10.32.136.66
DNN3-A201-4-10,DNN3-A201B-10,10.32.136.75
DNN3-A201-4-11,DNN3-A201B-11,10.32.136.76
DNN3-A201-4-12,DNN3-A201B-12,10.32.136.77
DNN3-A201-4-2,DNN3-A201B-2,10.32.136.67
DNN3-A201-4-3,DNN3-A201B-3,10.32.136.68
DNN3-A201-4-4,DNN3-A201B-4,10.32.136.69
DNN3-A201-4-5,DNN3-A201B-5,10.32.136.70
DNN3-A201-4-6,DNN3-A201B-6,10.32.136.71
DNN3-A201-4-7,DNN3-A201B-7,10.32.136.72
DNN3-A201-4-8,DNN3-A201B-8,10.32.136.73
DNN3-A201-4-9,DNN3-A201B-9,10.32.136.74
DNN3-A201-6-1,DNN3-A201B-13,10.32.136.78
DNN3-A201-6-10,DNN3-A201B-22,10.32.136.87
DNN3-A201-6-11,DNN3-A201B-23,10.32.136.88
DNN3-A201-6-12,DNN3-A201B-24,10.32.136.89
DNN3-A201-6-2,DNN3-A201B-14,10.32.136.79
DNN3-A201-6-3,DNN3-A201B-15,10.32.136.80
DNN3-A201-6-4,DNN3-A201B-16,10.32.136.81
DNN3-A201-6-5,DNN3-A201B-17,10.32.136.82
DNN3-A201-6-6,DNN3-A201B-18,10.32.136.83
DNN3-A201-6-7,DNN3-A201B-19,10.32.136.84
DNN3-A201-6-8,DNN3-A201B-20,10.32.136.85
DNN3-A201-6-9,DNN3-A201B-21,10.32.136.86
DNN3-A201-7-1,DNN3-A201B-25,10.32.136.90
DNN3-A201-7-10,DNN3-A201B-34,10.32.136.99
DNN3-A201-7-11,DNN3-A201B-35,10.32.136.100
DNN3-A201-7-12,DNN3-A201B-36,10.32.136.101
DNN3-A201-7-2,DNN3-A201B-26,10.32.136.91
DNN3-A201-7-3,DNN3-A201B-27,10.32.136.92
DNN3-A201-7-4,DNN3-A201B-28,10.32.136.93
DNN3-A201-7-5,DNN3-A201B-29,10.32.136.94
DNN3-A201-7-6,DNN3-A201B-30,10.32.136.95
DNN3-A201-7-7,DNN3-A201B-31,10.32.136.96
DNN3-A201-7-8,DNN3-A201B-32,10.32.136.97
DNN3-A201-7-9,DNN3-A201B-33,10.32.136.98
DNN3-A201-8-1,DNN3-A201C-1,10.32.136.130
DNN3-A201-8-10,DNN3-A201C-10,10.32.136.139
DNN3-A201-8-11,DNN3-A201C-11,10.32.136.140
DNN3-A201-8-12,DNN3-A201C-12,10.32.136.141
DNN3-A201-8-2,DNN3-A201C-2,10.32.136.131
DNN3-A201-8-3,DNN3-A201C-3,10.32.136.132
DNN3-A201-8-4,DNN3-A201C-4,10.32.136.133
DNN3-A201-8-5,DNN3-A201C-5,10.32.136.134
DNN3-A201-8-6,DNN3-A201C-6,10.32.136.135
DNN3-A201-8-7,DNN3-A201C-7,10.32.136.136
DNN3-A201-8-8,DNN3-A201C-8,10.32.136.137
DNN3-A201-8-9,DNN3-A201C-9,10.32.136.138
DNN3-A201-9-1,DNN3-A201C-13,10.32.136.142
DNN3-A201-9-10,DNN3-A201C-22,10.32.136.151
DNN3-A201-9-11,DNN3-A201C-23,10.32.136.152
DNN3-A201-9-12,DNN3-A201C-24,10.32.136.153
DNN3-A201-9-2,DNN3-A201C-14,10.32.136.143
DNN3-A201-9-3,DNN3-A201C-15,10.32.136.144
DNN3-A201-9-4,DNN3-A201C-16,10.32.136.145
DNN3-A201-9-5,DNN3-A201C-17,10.32.136.146
DNN3-A201-9-6,DNN3-A201C-18,10.32.136.147
DNN3-A201-9-7,DNN3-A201C-19,10.32.136.148
DNN3-A201-9-8,DNN3-A201C-20,10.32.136.149
DNN3-A201-9-9,DNN3-A201C-21,10.32.136.150
