site-bay-shelf-position,switchname-port,ip
DNN3-A101-6-4,DNN3-A101B-16,10.32.96.81
DNN3-A101-6-5,DNN3-A101B-17,10.32.96.82
DNN3-A101-6-6,DNN3-A101B-18,10.32.96.83
DNN3-A101-6-7,DNN3-A101B-19,10.32.96.84
DNN3-A101-6-8,DNN3-A101B-20,10.32.96.85
DNN3-A101-6-9,DNN3-A101B-21,10.32.96.86
DNN3-A101-7-1,DNN3-A101B-25,10.32.96.90
DNN3-A101-7-10,DNN3-A101B-34,10.32.96.99
DNN3-A101-7-11,DNN3-A101B-35,10.32.96.100
DNN3-A101-7-12,DNN3-A101B-36,10.32.96.101
DNN3-A101-7-2,DNN3-A101B-26,10.32.96.91
DNN3-A101-7-3,DNN3-A101B-27,10.32.96.92
DNN3-A101-7-4,DNN3-A101B-28,10.32.96.93
DNN3-A101-7-5,DNN3-A101B-29,10.32.96.94
DNN3-A101-7-6,DNN3-A101B-30,10.32.96.95
DNN3-A101-7-7,DNN3-A101B-31,10.32.96.96
DNN3-A101-7-8,DNN3-A101B-32,10.32.96.97
DNN3-A101-7-9,DNN3-A101B-33,10.32.96.98
DNN3-A101-8-1,DNN3-A101C-1,10.32.96.130
DNN3-A101-8-10,DNN3-A101C-10,10.32.96.139
DNN3-A101-8-11,DNN3-A101C-11,10.32.96.140
DNN3-A101-8-12,DNN3-A101C-12,10.32.96.141
DNN3-A101-8-2,DNN3-A101C-2,10.32.96.131
DNN3-A101-8-3,DNN3-A101C-3,10.32.96.132
DNN3-A101-8-4,DNN3-A101C-4,10.32.96.133
DNN3-A101-8-5,DNN3-A101C-5,10.32.96.134
DNN3-A101-8-6,DNN3-A101C-6,10.32.96.135
DNN3-A101-8-7,DNN3-A101C-7,10.32.96.136
DNN3-A101-8-8,DNN3-A101C-8,10.32.96.137
DNN3-A101-8-9,DNN3-A101C-9,10.32.96.138
DNN3-A101-9-1,DNN3-A101C-13,10.32.96.142
DNN3-A101-9-10,DNN3-A101C-22,10.32.96.151
DNN3-A101-9-11,DNN3-A101C-23,10.32.96.152
DNN3-A101-9-12,DNN3-A101C-24,10.32.96.153
DNN3-A101-9-2,DNN3-A101C-14,10.32.96.143
DNN3-A101-9-3,DNN3-A101C-15,10.32.96.144
DNN3-A101-9-4,DNN3-A101C-16,10.32.96.145
DNN3-A101-9-5,DNN3-A101C-17,10.32.96.146
DNN3-A101-9-6,DNN3-A101C-18,10.32.96.147
DNN3-A101-9-7,DNN3-A101C-19,10.32.96.148
DNN3-A101-9-8,DNN3-A101C-20,10.32.96.149
DNN3-A101-9-9,DNN3-A101C-21,10.32.96.150
DNN3-A102-10-1,DNN3-A102C-25,10.32.97.218
DNN3-A102-10-10,DNN3-A102C-34,10.32.97.227
DNN3-A102-10-11,DNN3-A102C-35,10.32.97.228
DNN3-A102-10-12,DNN3-A102C-36,10.32.97.229
DNN3-A102-10-2,DNN3-A102C-26,10.32.97.219
DNN3-A102-10-3,DNN3-A102C-27,10.32.97.220
DNN3-A102-10-4,DNN3-A102C-28,10.32.97.221
DNN3-A102-10-5,DNN3-A102C-29,10.32.97.222
DNN3-A102-10-6,DNN3-A102C-30,10.32.97.223
DNN3-A102-10-7,DNN3-A102C-31,10.32.97.224
DNN3-A102-10-8,DNN3-A102C-32,10.32.97.225
DNN3-A102-10-9,DNN3-A102C-33,10.32.97.226
DNN3-A102-1-1,DNN3-A102A-1,10.32.97.66
DNN3-A102-1-10,DNN3-A102A-10,10.32.97.75
DNN3-A102-11-1,DNN3-A102D-1,10.32.98.2
DNN3-A102-1-11,DNN3-A102A-11,10.32.97.76
DNN3-A102-11-10,DNN3-A102D-10,10.32.98.11
DNN3-A102-11-11,DNN3-A102D-11,10.32.98.12
DNN3-A102-11-12,DNN3-A102D-12,10.32.98.13
DNN3-A102-11-2,DNN3-A102D-2,10.32.98.3
DNN3-A102-1-12,DNN3-A102A-12,10.32.97.77
DNN3-A102-11-3,DNN3-A102D-3,10.32.98.4
DNN3-A102-11-4,DNN3-A102D-4,10.32.98.5
DNN3-A102-11-5,DNN3-A102D-5,10.32.98.6
DNN3-A102-11-6,DNN3-A102D-6,10.32.98.7
DNN3-A102-11-7,DNN3-A102D-7,10.32.98.8
DNN3-A102-11-8,DNN3-A102D-8,10.32.98.9
DNN3-A102-11-9,DNN3-A102D-9,10.32.98.10
DNN3-A102-1-2,DNN3-A102A-2,10.32.97.67
DNN3-A102-12-1,DNN3-A102D-13,10.32.98.14
DNN3-A102-12-10,DNN3-A102D-22,10.32.98.23
DNN3-A102-12-11,DNN3-A102D-23,10.32.98.24
DNN3-A102-12-12,DNN3-A102D-24,10.32.98.25
DNN3-A102-12-2,DNN3-A102D-14,10.32.98.15
DNN3-A102-12-3,DNN3-A102D-15,10.32.98.16
DNN3-A102-12-4,DNN3-A102D-16,10.32.98.17
DNN3-A102-12-5,DNN3-A102D-17,10.32.98.18
DNN3-A102-12-6,DNN3-A102D-18,10.32.98.19
DNN3-A102-12-7,DNN3-A102D-19,10.32.98.20
DNN3-A102-12-8,DNN3-A102D-20,10.32.98.21
DNN3-A102-12-9,DNN3-A102D-21,10.32.98.22
DNN3-A102-1-3,DNN3-A102A-3,10.32.97.68
DNN3-A102-13-1,DNN3-A102D-25,10.32.98.26
DNN3-A102-13-10,DNN3-A102D-34,10.32.98.35
DNN3-A102-13-11,DNN3-A102D-35,10.32.98.36
DNN3-A102-13-12,DNN3-A102D-36,10.32.98.37
DNN3-A102-13-2,DNN3-A102D-26,10.32.98.27
DNN3-A102-13-3,DNN3-A102D-27,10.32.98.28
DNN3-A102-13-4,DNN3-A102D-28,10.32.98.29
DNN3-A102-13-5,DNN3-A102D-29,10.32.98.30
DNN3-A102-13-6,DNN3-A102D-30,10.32.98.31
DNN3-A102-13-7,DNN3-A102D-31,10.32.98.32
DNN3-A102-13-8,DNN3-A102D-32,10.32.98.33
DNN3-A102-13-9,DNN3-A102D-33,10.32.98.34
DNN3-A102-1-4,DNN3-A102A-4,10.32.97.69
DNN3-A102-1-5,DNN3-A102A-5,10.32.97.70
DNN3-A102-1-6,DNN3-A102A-6,10.32.97.71
DNN3-A102-1-7,DNN3-A102A-7,10.32.97.72
DNN3-A102-1-8,DNN3-A102A-8,10.32.97.73
DNN3-A102-1-9,DNN3-A102A-9,10.32.97.74
DNN3-A102-2-1,DNN3-A102A-13,10.32.97.78
DNN3-A102-2-10,DNN3-A102A-22,10.32.97.87
DNN3-A102-2-11,DNN3-A102A-23,10.32.97.88
DNN3-A102-2-12,DNN3-A102A-24,10.32.97.89
DNN3-A102-2-2,DNN3-A102A-14,10.32.97.79
DNN3-A102-2-3,DNN3-A102A-15,10.32.97.80
DNN3-A102-2-4,DNN3-A102A-16,10.32.97.81
DNN3-A102-2-5,DNN3-A102A-17,10.32.97.82
DNN3-A102-2-6,DNN3-A102A-18,10.32.97.83
DNN3-A102-2-7,DNN3-A102A-19,10.32.97.84
DNN3-A102-2-8,DNN3-A102A-20,10.32.97.85
DNN3-A102-2-9,DNN3-A102A-21,10.32.97.86
DNN3-A102-3-1,DNN3-A102A-25,10.32.97.90
DNN3-A102-3-10,DNN3-A102A-34,10.32.97.99
DNN3-A102-3-11,DNN3-A102A-35,10.32.97.100
DNN3-A102-3-12,DNN3-A102A-36,10.32.97.101
DNN3-A102-3-2,DNN3-A102A-26,10.32.97.91
DNN3-A102-3-3,DNN3-A102A-27,10.32.97.92
DNN3-A102-3-4,DNN3-A102A-28,10.32.97.93
DNN3-A102-3-5,DNN3-A102A-29,10.32.97.94
DNN3-A102-3-6,DNN3-A102A-30,10.32.97.95
DNN3-A102-3-7,DNN3-A102A-31,10.32.97.96
DNN3-A102-3-8,DNN3-A102A-32,10.32.97.97
DNN3-A102-3-9,DNN3-A102A-33,10.32.97.98
DNN3-A102-4-1,DNN3-A102B-1,10.32.97.130
DNN3-A102-4-10,DNN3-A102B-10,10.32.97.139
DNN3-A102-4-11,DNN3-A102B-11,10.32.97.140
DNN3-A102-4-12,DNN3-A102B-12,10.32.97.141
DNN3-A102-4-2,DNN3-A102B-2,10.32.97.131
DNN3-A102-4-3,DNN3-A102B-3,10.32.97.132
DNN3-A102-4-4,DNN3-A102B-4,10.32.97.133
DNN3-A102-4-5,DNN3-A102B-5,10.32.97.134
DNN3-A102-4-6,DNN3-A102B-6,10.32.97.135
DNN3-A102-4-7,DNN3-A102B-7,10.32.97.136
DNN3-A102-4-8,DNN3-A102B-8,10.32.97.137
DNN3-A102-4-9,DNN3-A102B-9,10.32.97.138
DNN3-A102-6-1,DNN3-A102B-13,10.32.97.142
DNN3-A102-6-10,DNN3-A102B-22,10.32.97.151
DNN3-A102-6-11,DNN3-A102B-23,10.32.97.152
DNN3-A102-6-12,DNN3-A102B-24,10.32.97.153
DNN3-A102-6-2,DNN3-A102B-14,10.32.97.143
DNN3-A102-6-3,DNN3-A102B-15,10.32.97.144
DNN3-A102-6-4,DNN3-A102B-16,10.32.97.145
DNN3-A102-6-5,DNN3-A102B-17,10.32.97.146
DNN3-A102-6-6,DNN3-A102B-18,10.32.97.147
DNN3-A102-6-7,DNN3-A102B-19,10.32.97.148
DNN3-A102-6-8,DNN3-A102B-20,10.32.97.149
DNN3-A102-6-9,DNN3-A102B-21,10.32.97.150
DNN3-A102-7-1,DNN3-A102B-25,10.32.97.154
DNN3-A102-7-10,DNN3-A102B-34,10.32.97.163
DNN3-A102-7-11,DNN3-A102B-35,10.32.97.164
DNN3-A102-7-12,DNN3-A102B-36,10.32.97.165
DNN3-A102-7-2,DNN3-A102B-26,10.32.97.155
DNN3-A102-7-3,DNN3-A102B-27,10.32.97.156
DNN3-A102-7-4,DNN3-A102B-28,10.32.97.157
DNN3-A102-7-5,DNN3-A102B-29,10.32.97.158
DNN3-A102-7-6,DNN3-A102B-30,10.32.97.159
DNN3-A102-7-7,DNN3-A102B-31,10.32.97.160
DNN3-A102-7-8,DNN3-A102B-32,10.32.97.161
DNN3-A102-7-9,DNN3-A102B-33,10.32.97.162
DNN3-A102-8-1,DNN3-A102C-1,10.32.97.194
DNN3-A102-8-10,DNN3-A102C-10,10.32.97.203
DNN3-A102-8-11,DNN3-A102C-11,10.32.97.204
DNN3-A102-8-12,DNN3-A102C-12,10.32.97.205
DNN3-A102-8-2,DNN3-A102C-2,10.32.97.195
DNN3-A102-8-3,DNN3-A102C-3,10.32.97.196
DNN3-A102-8-4,DNN3-A102C-4,10.32.97.197
DNN3-A102-8-5,DNN3-A102C-5,10.32.97.198
DNN3-A102-8-6,DNN3-A102C-6,10.32.97.199
DNN3-A102-8-7,DNN3-A102C-7,10.32.97.200
DNN3-A102-8-8,DNN3-A102C-8,10.32.97.201
DNN3-A102-8-9,DNN3-A102C-9,10.32.97.202
DNN3-A102-9-1,DNN3-A102C-13,10.32.97.206
DNN3-A102-9-10,DNN3-A102C-22,10.32.97.215
DNN3-A102-9-11,DNN3-A102C-23,10.32.97.216
DNN3-A102-9-12,DNN3-A102C-24,10.32.97.217
DNN3-A102-9-2,DNN3-A102C-14,10.32.97.207
DNN3-A102-9-3,DNN3-A102C-15,10.32.97.208
DNN3-A102-9-4,DNN3-A102C-16,10.32.97.209
DNN3-A102-9-5,DNN3-A102C-17,10.32.97.210
DNN3-A102-9-6,DNN3-A102C-18,10.32.97.211
DNN3-A102-9-7,DNN3-A102C-19,10.32.97.212
DNN3-A102-9-8,DNN3-A102C-20,10.32.97.213
DNN3-A102-9-9,DNN3-A102C-21,10.32.97.214
DNN3-A103-10-1,DNN3-A103C-25,10.32.99.26
DNN3-A103-10-10,DNN3-A103C-34,10.32.99.35
DNN3-A103-10-11,DNN3-A103C-35,10.32.99.36
DNN3-A103-10-12,DNN3-A103C-36,10.32.99.37
DNN3-A103-10-2,DNN3-A103C-26,10.32.99.27
DNN3-A103-10-3,DNN3-A103C-27,10.32.99.28
DNN3-A103-10-4,DNN3-A103C-28,10.32.99.29
DNN3-A103-10-5,DNN3-A103C-29,10.32.99.30
DNN3-A103-10-6,DNN3-A103C-30,10.32.99.31
DNN3-A103-10-7,DNN3-A103C-31,10.32.99.32
DNN3-A103-10-8,DNN3-A103C-32,10.32.99.33
DNN3-A103-10-9,DNN3-A103C-33,10.32.99.34
DNN3-A103-1-1,DNN3-A103A-1,10.32.98.130
DNN3-A103-1-10,DNN3-A103A-10,10.32.98.139
DNN3-A103-11-1,DNN3-A103D-1,10.32.99.66
DNN3-A103-1-11,DNN3-A103A-11,10.32.98.140
DNN3-A103-11-10,DNN3-A103D-10,10.32.99.75
DNN3-A103-11-11,DNN3-A103D-11,10.32.99.76
DNN3-A103-11-12,DNN3-A103D-12,10.32.99.77
DNN3-A103-11-2,DNN3-A103D-2,10.32.99.67
DNN3-A103-1-12,DNN3-A103A-12,10.32.98.141
DNN3-A103-11-3,DNN3-A103D-3,10.32.99.68
DNN3-A103-11-4,DNN3-A103D-4,10.32.99.69
DNN3-A103-11-5,DNN3-A103D-5,10.32.99.70
DNN3-A103-11-6,DNN3-A103D-6,10.32.99.71
DNN3-A103-11-7,DNN3-A103D-7,10.32.99.72
DNN3-A103-11-8,DNN3-A103D-8,10.32.99.73
DNN3-A103-11-9,DNN3-A103D-9,10.32.99.74
DNN3-A103-1-2,DNN3-A103A-2,10.32.98.131
DNN3-A103-12-1,DNN3-A103D-13,10.32.99.78
DNN3-A103-12-10,DNN3-A103D-22,10.32.99.87
DNN3-A103-12-11,DNN3-A103D-23,10.32.99.88
DNN3-A103-12-12,DNN3-A103D-24,10.32.99.89
DNN3-A103-12-2,DNN3-A103D-14,10.32.99.79
DNN3-A103-12-3,DNN3-A103D-15,10.32.99.80
DNN3-A103-12-4,DNN3-A103D-16,10.32.99.81
DNN3-A103-12-5,DNN3-A103D-17,10.32.99.82
DNN3-A103-12-6,DNN3-A103D-18,10.32.99.83
DNN3-A103-12-7,DNN3-A103D-19,10.32.99.84
DNN3-A103-12-8,DNN3-A103D-20,10.32.99.85
DNN3-A103-12-9,DNN3-A103D-21,10.32.99.86
DNN3-A103-1-3,DNN3-A103A-3,10.32.98.132
DNN3-A103-13-1,DNN3-A103D-25,10.32.99.90
DNN3-A103-13-10,DNN3-A103D-34,10.32.99.99
DNN3-A103-13-11,DNN3-A103D-35,10.32.99.100
DNN3-A103-13-12,DNN3-A103D-36,10.32.99.101
DNN3-A103-13-2,DNN3-A103D-26,10.32.99.91
